"","carto_id","h2o_indoorallsources_KGAL","energy_star_score","property_gfa_self_reported_SF","property_id","department","property_name","ghg_emissions_indirect_MTCO2e","ghg_emissions_direct_MTCO2e","total_ghg_emissions_intensity_KGCO2eSF","total_ghg_emissions_MTCO2e","h2o_allsources_KGAL","weather_norm_source_eui_KBTUSF","weather_norm_site_eui_KBTUSF","source_eui_KBTUSF","site_eui_KBTUSF","total_site_energy_KBTU","log_total_site_energy_KBTU"
"93",96,0,0,9072,3935351,"Libraries:","Libraries: 51/014 Vermont Square Library",56.1,16.7,8.6,72.8,217.1,278.1,113.2,278.1,113.2,1026950.4,13.84210419
"94",97,0,0,10500,3935352,"Libraries:","Libraries: 51/057 Valley Plaza Library",56.9,15.3,6.9,72.1,0,222.6,93.5,224.8,89.8,942900,13.75671551
"95",98,0,0,12500,3935353,"Libraries:","Libraries: 51/071 Westwood Library",77.4,2.1,6.4,79.5,122.5,211,69.3,227.4,74.5,931250,13.74428305
"96",99,0,0,12000,3935354,"Libraries:","Libraries: 51/025 Studio City Library",39.2,0,3.4,39.2,132.5,0,0,123.4,39.3,471600,13.06388645
"97",100,0,0,11615,3935355,"Libraries:","Libraries: 51/010 Wilmington Library",47.2,0.5,4.4,47.7,466.1,159.1,51.3,159.1,51.3,595849.5,13.2977434
"98",101,0,0,17543,3935356,"Libraries:","Libraries: 51/008 Echo Park Library",68.9,2.8,4.2,71.7,533.4,148,50.2,150.5,50,877150,13.68443329
"99",102,0,0,11626,3935357,"Libraries:","Libraries: 51/053 Pacoima Library",63.6,5.1,6.1,68.7,386.4,204.7,73.7,212.5,73.3,852185.8,13.65555986
"100",103,0,0,13035,3935358,"Libraries:","Libraries: 51/051 Sherman Oaks Library",64.8,21.9,7.1,86.7,609.5,0,0,228.2,95.2,1240932,14.03137327
"101",104,0,0,12447,3935359,"Libraries:","Libraries: 51/039 Panarama City Library",70.9,4.5,12.4,75.4,249.2,386.4,132.3,435.2,147.8,1839666.6,14.42509492
"102",105,0,0,12500,3935360,"Libraries:","Libraries: 51/054 Sylmar Library",61.7,5.8,5.7,67.5,233,183.5,64.6,198.8,69.5,868750,13.67481068
"103",106,0,0,6503,3935361,"Libraries:","Libraries: 51/029 Wilshire Library",25.2,2,4.3,27.2,218.9,148.7,51.8,152.1,52.4,340757.2,12.73892548
"104",107,0,0,12596,3935362,"Libraries:","Libraries: 51/061 Fairfax Library",89,1.3,7.2,90.3,107.6,254.9,83,259.7,84,1058064,13.87195138
"105",108,0,0,19500,3935363,"Libraries:","Libraries: 51/011 Goldwyn Hollywood Library",111.3,6.6,7.5,117.8,191.3,261.8,90.3,266,90,1755000,14.37797941
"106",109,0,0,25418,3935364,"Libraries:","Libraries: 51/066 Mid Valley Library",198.4,73.9,10.7,272.3,196.8,327.3,140.7,339.9,144.7,3677984.6,15.1178755
"107",110,0,0,8780,3935365,"Libraries:","Libraries: 51/042 Robertson Library",60.1,2.9,7.2,63,1.3,226.3,76.2,254.3,85.1,747178,13.52405872
"108",111,0,0,13858,3935366,"Libraries:","Libraries: 51/047 Tarzana Library",63.2,5,5.5,68.2,125.2,183.4,65.4,190.8,65.7,910470.6,13.72171689
"109",112,0,0,9953,3935367,"Libraries:","Libraries: 51/036 Los Feliz Library",51.3,6.9,5.8,58.2,169.8,198.6,73.4,200.3,72.5,721592.5,13.48921585
"110",113,0,0,14228,3935368,"Libraries:","Libraries: 51/050 West Valley Library",86.4,11.8,7.1,98.2,485.7,230,84,244.5,88.6,1260600.8,14.04709899
"111",114,0,0,12500,3935369,"Libraries:","Libraries: 51/69 Edendale Library",66.1,0.5,6.2,66.6,447.2,217.1,69.8,222.4,71.4,892500,13.70178179
"112",115,0,0,12500,3935370,"Libraries:","Libraries: 51/024 Canoga Park Library",64.9,2.9,5.4,67.9,331,180.7,60.5,192.6,64.3,803750,13.59704355
"113",116,0,0,12500,3935371,"Libraries:","Libraries: 51/064 Little Tokyo Library",76.4,1.4,6.5,77.8,153.4,233.1,75.8,232.9,75.6,945000,13.75894021
"114",117,0,0,12500,3935372,"Libraries:","Libraries: 51/060 Chatsworth Library",79.3,2.1,6.5,81.4,127.2,214,70.3,233,76.3,953750,13.76815686
"115",118,0,0,9656,3935373,"Libraries:","Libraries: 51/001 Ben Franklin Library",76.7,3.2,8.3,79.9,228.8,283,94.3,294.1,97.8,944356.8,13.75825934
"116",119,0,0,10500,3935374,"Libraries:","Libraries: 51/033 Hyde Park Library",51.8,3.5,5.3,55.3,179.7,178.2,62.9,185.1,63.1,662550,13.40385131
"117",120,0,0,12342,3935375,"Libraries:","Libraries: 51/017 Jefferson Branch Library",31.7,3.8,3.9,35.5,105.5,132.8,47.6,135.9,48.6,599821.2,13.30438689
"118",121,0,0,12362,3935376,"Libraries:","Libraries: 51/058 Woodland Hills Library",65.8,0.9,5.4,66.7,614.7,182,58.9,194.1,62.7,775097.4,13.56074398
"119",122,0,0,14338,3935377,"Libraries:","Libraries: 51/065 Platt Library",69.6,14.8,5.9,84.4,685.5,191.7,75.2,196.2,75.4,1081085.2,13.89347591
"120",123,0,0,25846,3935378,"Libraries:","Libraries: 51/072 Silver Lake Library",77.8,5.6,6.1,83.5,164.2,210.2,73.7,214.2,73.4,1897096.4,14.45583506
"121",124,0,0,14214,3935379,"Libraries:","Libraries: 51/68 Harbor Gateway Library",69.1,2.3,5,71.4,426.6,175.1,58.4,179.1,59,838626,13.63952012
"122",125,0,0,12912,3935380,"Libraries:","Libraries:  51/002 Lincoln Heights Library",38.1,0,3.2,38.1,348.4,115.8,36.9,117.5,37.4,482908.8,13.08758309
"123",126,0,0,6227,3935381,"Libraries:","Libraries: 51/026 Angeles Mesa Library",21.9,1.6,4.5,23.5,253.2,151.1,53.6,157.2,54,336258,12.725634
"124",128,0,0,9126,3935384,"Libraries:","Libraries: 51/048 Felipe De Neve Library",44.8,2.8,5.2,47.6,18.1,186.4,64.8,183.9,62.4,569462.4,13.25244804
"125",129,0,0,14760,3935385,"Libraries:","Libraries: 51/0046 Baldwin Hills Library",83.5,5.1,7.9,88.6,176.4,261,88.9,277.6,94.1,1388916,14.14403414
"126",130,0,0,11166,3935386,"Libraries:","Libraries: 51/022 Palms Rancho Park Library",77.5,8.2,8.2,85.7,209.1,271.6,99.6,282.7,99.8,1114366.8,13.92379691
"127",131,0,0,6180,3935387,"Libraries:","Libraries: 51/044 Atwater Village Library",19.9,2.9,3.9,22.7,115.6,130.2,48.7,131.5,48,296640,12.60027456
"128",132,0,0,43904,3935388,"Libraries:","Libraries: 51/101 Library Maintenance Building",21.8,0,0.5,21.8,517.8,18,5.7,18,5.7,250252.8,12.43022689
"129",133,0,0,14748,3935389,"Libraries:","Libraries: 51/074 Exposition Park Library",116.3,6.6,8.6,122.9,105.5,295.3,100.9,302.8,102.3,1508720.4,14.22677243
"130",134,0,0,12247,3935390,"Libraries:","Libraries: 51/041 Washington Irving Library",52.8,11.5,5.2,64.3,350.5,174.1,69.5,174.5,67.4,825447.8,13.62368131
