parcel,zip,floor_area_SF,property_type_self_reported,energy_star_score_2017,site_eui_KBTUSF_2017,source_eui_KBTUSF_2017,percent_better_nat_med_site_eui_2017,percent_better_nat_med_source_eui_2017,total_ghg_emissions_MTCO2e_2017,total_ghg_intensity_kgCO2eSF_2017,weather_norm_site_eui_KBTUSF_2017,weather_norm_source_eui_KBTUSF_2017,total_site_energy_KBTU,log_total_site_energy_KBTU,Neighborhood.Code,Neighborhood.Code.Definition,Volume.Number,Property.Class.Code,Year.Property.Built,Number.of.Bathrooms,Number.of.Bedrooms,Number.of.Rooms,Number.of.Stories,Number.of.Units,Zoning.Code,Construction.Type,Lot.Depth,Lot.Frontage,Property.Area.in.Square.Feet,Basement.Area,Lot.Area,Lot.Code,Tax.Rate.Area.Code,Percent.of.Ownership,Closed.Roll.Misc.Exemption.Value,Closed.Roll.Homeowner.Exemption.Value,Current.Sales.Date,Closed.Roll.Assessed.Fixtures.Value,Closed.Roll.Assessed.Improvement.Value,Closed.Roll.Assessed.Land.Value,Closed.Roll.Assessed.Personal.Prop.Value,Supervisor.District,Neighborhoods...Analysis.Boundaries
0239/012,94104,270099,Office,96,38.2,101.8,-57.2,-57.2,759,2.8,39.2,103,10317781.8,16.14937935,08B,Financial District North,3,O,1986,0,0,0,26,0,C3O,A,68.75,0,0,0,2828.78,,1000,1,0,0,,0,0,866253,0,3,Financial District/South Beach
0295/005,94108,19774,Retail Store,8,101.5,306.8,85.8,85.8,149.6,7.6,101.5,306.8,2007061,14.51218202,08I,,3,C,1923,0,0,13,3,1,C3R,B,0,37.5,14475,0,5153,,1000,1,0,0,7/1/87,0,3981774,7963550,0,3,Financial District/South Beach
3774/008,94107,117200,Office,77,68.6,151.9,-27.8,-27.8,451.2,4.5,68.6,151.9,8039920,15.89992969,09H,South Beach,25,O,1920,0,0,11,5,0,M1,B,60,0,117200,0,25600,S,1000,0.5,0,0,,0,11420490,1741212,2179,6,Financial District/South Beach
3553/052,94103,74176,Strip Mall,71,88.8,188.4,-20.7,-20.7,281,5.8,87.9,187.5,6586828.8,15.70058258,09C,Inner ission,23,C,1909,0,0,20,2,20,NC3,D,0,0,36756,0,57325,O,1000,0.08223,0,0,,0,472757,1082055,0,9,Mission
0242/027,94108,50212,Other,43,40.9,128.3,4.2,4.2,155.6,3.1,40.9,128.3,2053670.8,14.53513938,08B,Financial District North,3,U,1925,0,0,74,4,1,CRNC,B,0,0,51472,0,18905,,1000,1,23599131,0,,21087966,931054,1517031,63080,3,Chinatown
0310/021,94108,75950,Office,60,58.7,162.2,-11.9,-11.9,319.8,4.2,58.7,162.2,4458265,15.31027023,08I,,3,C,1908,0,0,0,6,0,C3R,A,0,0,66964,0,12249,,1000,1,0,0,9/12/88,0,16833271,12246912,0,3,Financial District/South Beach
5226/012,94124,29999,Non-Refrigerated Warehouse,51,19.7,58.6,-2.2,-2.2,27.5,1.5,20.3,60,590980.3,13.28953796,10A,Bayview,31,I,1948,0,0,12,1,1,PDR2,D,0,0,18810,0,29999,,1018,1,0,0,2/21/13,0,20493,179974,0,10,Bayview Hunters Point
0258/032,94108,280804,Office,77,58.2,138,-29,-29,1177.7,4.2,59.2,139.2,16342792.8,16.60929755,08B,Financial District North,3,O,1960,0,0,306,22,2,C3O,A,0,0,291463,0,10088,,1000,1,0,0,2/21/41,0,40196212,34112768,0,3,Financial District/South Beach
0315/022,94102,202500,Hotel,70,86.2,153.8,-17.9,-17.9,1066.9,5.3,87,154.4,17455500,16.67516534,08I,,3,H1,1907,0,0,406,8,324,C3G,C,0,0,0,0,21527,,1000,1,0,0,,3257778,2252095,3274288,1348850,3,Tenderloin
0266/008,94111,75272,Office,55,82.9,185.9,-5.5,-5.5,412.3,5.5,83.3,184.3,6240048.8,15.64649856,08B,Financial District North,3,O,1907,0,0,33,7,0,C3O,A,37.5,0,65675,0,12401.13,R,1000,1,0,0,3/30/87,0,5096663,7963546,6094,3,Financial District/South Beach
0642/003,94109,88202,Office,83,50.2,127.9,-37.1,-37.1,258.7,3.5,51.1,128.9,4427740.4,15.30339994,07B,Pacific Heights,5,O,1919,0,0,37,4,0,RC4,B,0,0,0,0,23204,O,1000,1,0,0,,0,2073228,753892,0,2,Pacific Heights
3745/009,94105,190190,,81,40.2,126.3,-30.5,NA,472.8,3.1,40.2,126.3,7645638,15.84964585,09C,Inner ission,27,I,1986,0,NA,0,0,0,M1,C,0,0,176000,0,100450,O,1000,1,0,0,,1022935,65897712,33894786,2671390,10,Potrero Hill
0175/032,94133,18863,Office,78,72,163.9,-29.8,-29.8,90.3,4.8,72,163.9,1358136,14.12162373,08B,Financial District North,2,O,1910,0,0,27,4,2,C2,B,60,0,19586,0,6199.8,R,1000,1,0,0,,0,765309,522356,0,3,Chinatown
0143/002,94133,43563,Office,95,31.1,63.2,-54.6,-54.6,86.5,2,33.7,66,1354809.3,14.11917126,08G,Telegraph Hill,2,O,1921,0,0,37,3,1,C2,B,37.5,0,43530,0,18906.25,S,1000,1,0,0,2/21/51,0,3567345,5351019,0,3,North Beach
0689/200,94109,12342,Retail Store,81,66.4,201.9,-38.4,-38.4,61.2,5,67.2,202.7,819508.8,13.61646042,09F,South of Market,10,C,1912,0,NA,11,1,0,POLK,D,0,0,0,0,8000,R,1000,1,0,0,7/11/50,0,2633978,3253814,0,1,South of Market
3752/001,94107,18000,,74,47.7,104.1,-26.4,-26.4,56.2,3.1,51.3,107.8,858600,13.66305843,08I,,3,O,1907,0,NA,150,6,0,C3R,C,0,0,17000,0,8163,,1000,1,0,0,1/31/70,0,2626240,1123242,0,3,Financial District/South Beach
