building_id,building_type,property_type_primary,zip,council_district_code,neighborhood,year_built,num_buildings,num_floors,gross_floor_area_total_SF,gross_floor_area_parking_SF,gross_floor_area_building_SF,property_types_all,property_type_first,gross_floor_area_property_type_first_SF,property_type_second,property_type_third,energy_star_score,site_eui_KBTUSF,weather_norm_site_eui_KBTUSF,source_eui_KBTUSF,weather_norm_source_eui_KBTUSF,total_site_energy_KBTU,weather_norm_total_site_energy_KBTU,steam_use_KBTU,electricity_KWH,electricity_KBTU,natural_gas_THERMS,natural_gas_KBTU,total_ghg_emissions_MTCO2e,ghg_intensity_KGCO2e,log_total_site_energy_KBTU
19756,Multifamily LR (1-4),Low-Rise Multifamily,98121,7,DOWNTOWN,1987,1,4,34880,0,34880,Multifamily Housing,Multifamily Housing,40987,,,92,22.5,23.5,70.59999847,73.80000305,922153.6875,962912.3125,0,270267.6875,922153,0,0,6.43,0.18,13.73446718
19757,Multifamily LR (1-4),Low-Rise Multifamily,98121,7,DOWNTOWN,1902,1,4,56776,0,56776,Multifamily Housing,Multifamily Housing,50841,,,101,31.10000038,33.29999924,61.09999847,66.5,1583110.25,1693181.75,0,202158.9063,689766,8933.44043,893344,52.25,0.92,14.27490198
19758,Multifamily MR (5-9),Mid-Rise Multifamily,98121,7,DOWNTOWN,1990,1,6,112676,0,112676,"Multifamily Housing, Parking",Multifamily Housing,77887,Parking,,85,39.5,42.40000153,104.5999985,111.5999985,3073937.5,3305003.5,0,690259.5,2355165,7187.720215,718772,54.59,0.48,14.93846987
19766,NonResidential,Worship Facility,98116,1,SOUTHWEST,1926,1,2,22128,0,22128,Worship Facility,Worship Facility,22128,,,96,27.5,32.90000153,43.29999924,49.79999924,608359.6875,727772.8125,0,44931.30078,153306,4550.540039,455054,25.24,1.14,13.31852158
19770,Multifamily LR (1-4),Low-Rise Multifamily,98116,1,SOUTHWEST,1973,1,4,26880,0,26880,Multifamily Housing,Multifamily Housing,26880,,,7,44.5,47,120.3000031,128.3999939,1195994.125,1263325.75,0,277540.5,946968,2490.26001,249026,19.83,0.74,13.9944883
19773,Multifamily LR (1-4),Low-Rise Multifamily,98103,6,LAKE UNION,1987,1,4,23098,0,23098,Multifamily Housing,Multifamily Housing,23098,,,90,22,22.89999962,69,71.80000305,507603.3125,528435.1875,0,148770,507603,0,0,3.54,0.15,13.13745554
19774,NonResidential,Retail Store,98133,5,NORTHWEST,1968,1,1,48139,0,48139,Retail Store,Retail Store,40000,,,100,21.5,24,47,51.09999847,859236.625,959683.125,0,137280.9063,468402,3908.339844,390834,24.02,0.5,13.66379963
19777,Multifamily MR (5-9),Mid-Rise Multifamily,98133,5,NORTHWEST,1993,1,5,214388,0,214388,"Multifamily Housing, Parking",Multifamily Housing,171306,Parking,,98,26.60000038,27.39999962,83.5,86.09999847,4555219.5,4696469,0,1335058.375,4555219,0,0,31.76,0.15,15.33178428
19781,Multifamily LR (1-4),Low-Rise Multifamily,98133,5,NORTHWEST,1990,1,4,43228,0,43228,Multifamily Housing,Multifamily Housing,43228,,,4,23.70000076,24.29999924,74.30000305,76.40000153,1022957.688,1052127.875,0,299811.6875,1022957,0,0,7.13,0.16,13.83820868
19783,Multifamily MR (5-9),Mid-Rise Multifamily,98102,3,EAST,1967,1,5,23231,0,23231,Multifamily Housing,Multifamily Housing,22047,,,95,25.70000076,27.39999962,80.69999695,86,566665.1875,603646.875,0,166080,566665,0,0,3.95,0.17,13.24752391
