"","report_status","ward","postal_code","year_built","primary_ptype_self","primary_ptype_epa","tax_record_floor_area","reported_gross_floor_area","water_use","metered_areas_energy","metered_areas_water","electricity_use","natural_gas_use","energy_star_score","site_eui","weather_norm_site_eui","source_eui","weather_norm_source_eui","total_ghg_emissions","total_ghg_emissions_intensity","total_site_energy_KBTU","log_total_site_energy_KBTU"
"166","In Compliance","2","20036",2000,"Office","Office",275585,206900,3941.7,"Whole Building","Whole Building",6567123,NA,63,108.3,108.3,340.1,340.1,2569.6,12.4,22407270,16.9248960177406
"167","In Compliance","2","20005",2006,"Office","Office",112762,89372,1959.3,"Whole Building","Whole Building",1807008,NA,74,69,67.7,216.6,212.7,707.1,7.9,6166668,15.6346692175966
"169","In Compliance","2","20001",2004,"Office","Office",558645,604549,9110.1,"Whole Building","Whole Building",9856200,5474.735907,87,56.6,NA,175.7,NA,3887.2,6.4,34217473.4,17.3482469896873
"170","In Compliance","2","20001",1983,"Office","Office",257822,207599,5660.2,"Whole Building","Whole Building",3417597,0,89,56.2,55.3,176.4,173.5,1337.3,6.4,11667063.8,16.2722803702062
"171","In Compliance","2","22204",1984,"Office","Office",255095,335991,5081.2,"Whole Building","Whole Building",5771231,NA,81,58.7,NA,184.1,NA,2457,7.3,19722671.7,16.7972793797064
"172","In Compliance","6","20024",1987,"Office","Office",477381,280118,3174.9,"Whole Building","Whole Building",5041418,NA,89,61.4,NA,192.8,NA,1972.8,7,17199245.2,16.6603760570998
"173","In Compliance","6","20024",1982,"Office","Office",628340,572811,11686.4,"Whole Building","Whole Building",9535852,2604.986715,90,57.3,NA,178.9,NA,3746.6,6.5,32822070.3,17.3066117220755
"174","In Compliance","2","20005",1982,"Office","Office",713149,718241,17989.6,"Whole Building","Whole Building",9709690,NA,86,46.2,NA,144.9,NA,3801.7,5.3,33182734.2,17.3175402443948
"175","In Compliance","2","20004",2000,"Office","Office",475190,475190,4560.7,"Whole Building","Whole Building",7571286,NA,82,54.4,NA,170.8,NA,2964.5,6.2,25850336,17.0678341569
"176","In Compliance","3","20016",1959,"Residence Hall/Dormitory","Residence Hall/Dormitory",1452667,106453,3024.2,"Whole Building","Whole Building",769713.9,80347.19921,40,142.1,140.7,201.9,200.5,986.4,9.3,15126971.3,16.5319898872728
"178","Data under review by DOEE","3","20016",1979,"Office","Mixed Use Property",162058,100488,3382.2,"Whole Building","Whole Building",3130340,5537.197424,NA,111.8,112.3,331.7,332.2,1254.3,12.5,11234558.4,16.2345051570881
"179","In Compliance","2","20001",1991,"Office","Office",405885,282901,6509.2,"Whole Building","Whole Building",5649401,NA,89,68.1,67.3,213.9,211.4,2210.5,7.8,19265558.1,16.7738295052568
"180","In Compliance","6","20002",1997,"Office","Office",274960,280169,5243.6,"Whole Building","Whole Building",4199996,NA,95,51.1,51.1,160.6,160.6,1643.4,5.9,14316635.9,16.4769327687136
"181","Data under review by DOEE","3","20016",1975,"Mixed Use Property","Mixed Use Property",216397,139489.3,4076.3,"Whole Building","Whole Building",4359491,11738.59998,NA,115.1,115.3,343.7,344,1768.2,12.7,16055218.43,16.5915444905206
"182","In Compliance","6","20001",1993,"Residence Hall/Dormitory","Residence Hall/Dormitory",242228,225264,6437.7,"Whole Building","Whole Building",2223314,31602.39808,72,47.7,48.3,120.5,120.2,1037.8,4.6,10745092.8,16.1899597245966
"183","In Compliance","2","20036",1979,"Office","Office",270061,290402,3096.8,"Whole Building","Whole Building",4263427,NA,93,50.1,49.6,157.3,155.9,1668.2,5.7,14549140.2,16.4930424570522
"184","In Compliance","6","20024",2007,"Office","Office",317623,252361,6953.9,"Whole Building","Whole Building",4756524,2554.691603,83,65.3,65.3,203,203,1874.7,7.4,16479173.3,16.6176079173524
"185","In Compliance","2","20037",1990,"Hotel","Hotel",219252,193239,14228,"Whole Building","Whole Building",4876131,43079.00115,25,108.4,109.8,293.8,298.3,2136.8,11.1,20947107.6,16.8575111327485
